week_label,campaign,avg_adherence_pct
W10,Billing & Collections,89.01448275862069
W10,Customer Retention,89.96105263157895
W10,Tech Support,88.11115384615384
W11,Billing & Collections,88.95313725490196
W11,Customer Retention,89.59285714285714
W11,Tech Support,87.9781094527363
W12,Billing & Collections,88.56737623762376
W12,Customer Retention,88.99956204379562
W12,Tech Support,87.74248704663212
W13,Billing & Collections,88.28598984771574
W13,Customer Retention,89.44007692307692
W13,Tech Support,87.91753768844221
W14,Billing & Collections,88.16612244897959
W14,Customer Retention,88.83503703703704
W14,Tech Support,88.0968656716418
W15,Billing & Collections,88.64064356435644
W15,Customer Retention,89.22029411764706
W15,Tech Support,88.16955882352941
W16,Billing & Collections,88.52969849246232
W16,Customer Retention,89.45723076923078
W16,Tech Support,87.97522613065327
W17,Billing & Collections,88.54267326732673
W17,Customer Retention,89.33014705882353
W17,Tech Support,88.09729468599033
W18,Billing & Collections,88.71915841584159
W18,Customer Retention,88.86014925373135
W18,Tech Support,88.1463
W19,Billing & Collections,88.39661616161615
W19,Customer Retention,89.02689393939393
W19,Tech Support,88.14227272727271
W20,Billing & Collections,88.57954773869348
W20,Customer Retention,88.98909774436089
W20,Tech Support,87.95004975124378
W21,Billing & Collections,88.8498
W21,Customer Retention,89.2826923076923
W21,Tech Support,87.9008121827411
W22,Billing & Collections,88.54346733668342
W22,Customer Retention,89.26759124087592
W22,Tech Support,88.3183
W23,Billing & Collections,88.36081632653062
W23,Customer Retention,89.18136842105262
W23,Tech Support,88.12797297297297
